,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
weatheryear,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0,2013.0
c_hat [EUR/kWh],12.0,30.0,4.0,20.0,10.0,3.0,80.0,16.0,6.0,1.0,2.0,8.0,18.0,0.2,16.0,1.0,6.0,3.0,14.0,5.0,16.0,2.0,5.0,80.0,14.0,10.0,20.0,6.0,40.0,1.0,12.0,12.0,30.0,40.0,4.0,18.0,30.0,14.0,5.0,8.0,0.2,2.0,18.0,4.0,8.0,3.0,40.0,20.0,0.2,80.0,10.0
co2_cap [%],5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
eta1 [-],0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eta2 [-],0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
tau [n_days],30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
c1,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
c2,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
transmission,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nnodes,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
tres,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CO2 price [EUR],131.517,131.518,131.069,131.517,131.516,130.119,131.518,131.517,131.485,125.024,128.283,131.517,131.516,119.937,370.333,369.969,370.323,370.343,370.345,131.382,266.071,370.181,370.343,370.329,131.518,370.34,370.326,265.996,370.332,265.228,266.025,370.345,266.033,131.517,266.001,266.03,370.326,266.048,265.99,370.344,264.007,265.612,370.329,370.322,266.021,265.915,266.071,266.032,369.754,266.07,266.07
c_sys [bEUR],137.572,137.572,137.57,137.572,137.572,137.558,137.572,137.572,137.572,137.426,137.517,137.572,137.572,137.269,668.003,667.941,668.009,667.979,667.986,137.571,361.233,667.968,667.985,668.001,137.572,667.998,668.006,361.25,668.011,361.132,361.247,667.986,361.243,137.572,361.236,361.246,668.011,361.241,361.249,667.986,360.997,361.225,668.011,668.002,361.246,361.248,361.232,361.244,667.776,361.232,361.233
X Discharge,0.0,0.0,0.172,0.0,0.001,0.799,0.0,0.0,0.017,2.797,1.667,0.001,0.0,4.18,0.003,1.131,0.018,0.117,0.0,0.035,0.0,0.371,0.052,0.001,0.0,0.002,0.003,0.009,0.003,1.902,0.003,0.001,0.001,0.0,0.037,0.002,0.003,0.002,0.018,0.001,3.154,0.794,0.003,0.083,0.004,0.08,0.0,0.002,2.486,0.0,0.001
load_coverage [%],0.0,0.0,0.019,0.0,0.0,0.087,0.0,0.0,0.002,0.304,0.181,0.0,0.0,0.454,0.0,0.037,0.001,0.004,0.0,0.004,0.0,0.012,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.12,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.199,0.05,0.0,0.003,0.0,0.005,0.0,0.0,0.082,0.0,0.0
battery_load_coverage [%],1.63,1.63,1.603,1.629,1.629,1.526,1.628,1.629,1.628,1.372,1.479,1.63,1.629,1.248,3.397,3.387,3.401,3.383,3.383,1.623,2.099,3.381,3.383,3.397,1.629,3.391,3.402,2.117,3.397,2.062,2.114,3.383,2.114,1.629,2.098,2.113,3.401,2.11,2.111,3.383,2.052,2.095,3.401,3.397,2.115,2.099,2.098,2.114,3.355,2.099,2.1
G_discharge [GW],0.001,0.001,0.557,0.001,0.002,2.517,0.001,0.001,0.071,9.506,5.345,0.004,0.001,14.734,0.023,14.099,0.187,1.572,0.004,0.131,0.007,6.203,0.564,0.009,0.001,0.024,0.024,0.411,0.02,12.503,0.067,0.005,0.025,0.001,1.597,0.043,0.022,0.038,0.888,0.006,17.762,6.3,0.03,0.912,0.117,2.63,0.002,0.036,26.826,0.001,0.012
E [GWh],0.072,0.031,44.822,0.041,0.115,260.264,0.007,0.06,3.162,1506.454,667.802,0.225,0.044,3069.186,0.688,1044.469,7.279,55.158,0.119,7.654,0.095,244.181,20.818,0.1,0.064,0.857,0.607,4.182,0.365,1359.132,0.966,0.173,0.311,0.018,16.087,0.588,0.481,0.532,8.105,0.24,2901.892,467.647,0.835,36.004,1.58,36.217,0.018,0.481,3052.515,0.008,0.177
G_charge [GW],0.002,0.002,0.905,0.002,0.004,4.053,0.001,0.002,0.093,15.171,8.662,0.007,0.002,24.768,0.022,10.953,0.122,0.798,0.004,0.187,0.003,2.924,0.331,0.012,0.002,0.021,0.023,0.076,0.022,13.706,0.023,0.005,0.012,0.001,0.271,0.018,0.024,0.014,0.138,0.005,23.762,5.598,0.029,0.562,0.032,0.579,0.001,0.015,26.062,0.001,0.004
G_battery [GW],23.891,23.891,23.517,23.891,23.89,22.342,23.891,23.891,23.864,19.968,21.605,23.889,23.891,18.029,179.214,177.751,179.21,179.267,179.194,23.783,73.428,178.581,179.247,179.223,23.891,179.216,179.184,73.269,179.204,70.468,73.428,179.2,73.45,23.891,72.502,73.452,179.21,73.435,72.877,179.203,69.624,71.458,179.199,179.296,73.411,71.882,73.43,73.448,176.664,73.426,73.425
E_battery [GWh],131.99,131.993,129.733,131.992,131.987,123.043,131.993,131.992,131.812,109.916,118.825,131.978,131.99,99.699,1065.002,1057.844,1064.79,1065.343,1065.031,131.352,444.728,1063.156,1065.168,1065.001,131.991,1065.052,1064.716,444.093,1064.887,434.546,444.568,1065.066,444.659,131.991,442.099,444.661,1064.931,444.658,443.035,1065.089,430.25,438.932,1064.831,1065.275,444.551,440.273,444.727,444.661,1051.248,444.716,444.709
G_PHS [GW],56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
